"City","Sport","Discipline","Athlete","NOC","Gender","Event","Event_gender","Medal","Year","Country"
"Moscow","Canoe / Kayak","Canoe / Kayak F","PARFENOVICH, Vladimir","URS","Men","K-2 1000m (kayak double)","M","Gold",1980,NA
"Moscow","Canoe / Kayak","Canoe / Kayak F","JOOS, Istvan","HUN","Men","K-2 1000m (kayak double)","M","Silver",1980,"Hungary"
"Moscow","Canoe / Kayak","Canoe / Kayak F","SZABO, Istvan","HUN","Men","K-2 1000m (kayak double)","M","Silver",1980,"Hungary"
"Moscow","Canoe / Kayak","Canoe / Kayak F","HELM, RÃ_diger","GDR","Men","K-2 500m (kayak double)","M","Bronze",1980,NA
"Moscow","Canoe / Kayak","Canoe / Kayak F","OLBRICHT, Bernd","GDR","Men","K-2 500m (kayak double)","M","Bronze",1980,NA
"Moscow","Canoe / Kayak","Canoe / Kayak F","CHUKHRAI, Sergei","URS","Men","K-2 500m (kayak double)","M","Gold",1980,NA
"Moscow","Canoe / Kayak","Canoe / Kayak F","PARFENOVICH, Vladimir","URS","Men","K-2 500m (kayak double)","M","Gold",1980,NA
"Moscow","Canoe / Kayak","Canoe / Kayak F","DEL RIEGO GORDON, Guillermo","ESP","Men","K-2 500m (kayak double)","M","Silver",1980,"Spain"
"Moscow","Canoe / Kayak","Canoe / Kayak F","MENENDEZ RODRIGUEZ, Herminio","ESP","Men","K-2 500m (kayak double)","M","Silver",1980,"Spain"
"Moscow","Canoe / Kayak","Canoe / Kayak F","RAKUSZ, Eva","HUN","Women","K-2 500m (kayak double)","W","Bronze",1980,"Hungary"
"Moscow","Canoe / Kayak","Canoe / Kayak F","ZAKARIAS, Maria","HUN","Women","K-2 500m (kayak double)","W","Bronze",1980,"Hungary"
"Moscow","Canoe / Kayak","Canoe / Kayak F","BISCHOF, Martina","GDR","Women","K-2 500m (kayak double)","W","Gold",1980,NA
"Moscow","Canoe / Kayak","Canoe / Kayak F","GENÃ„USS, Carsta","GDR","Women","K-2 500m (kayak double)","W","Gold",1980,NA
"Moscow","Canoe / Kayak","Canoe / Kayak F","GOPOVA-TROFIMOVA, Nina","URS","Women","K-2 500m (kayak double)","W","Silver",1980,NA
"Moscow","Canoe / Kayak","Canoe / Kayak F","KREFT-ALEKSEEVA, Galina","URS","Women","K-2 500m (kayak double)","W","Silver",1980,NA
"Moscow","Canoe / Kayak","Canoe / Kayak F","BORISOV, Borislav","BUL","Men","K-4 1000m (kayak four)","M","Bronze",1980,"Bulgaria"
"Moscow","Canoe / Kayak","Canoe / Kayak F","KHRISTOV, Lazar","BUL","Men","K-4 1000m (kayak four)","M","Bronze",1980,"Bulgaria"
"Moscow","Canoe / Kayak","Canoe / Kayak F","MANEV, Ivan","BUL","Men","K-4 1000m (kayak four)","M","Bronze",1980,"Bulgaria"
"Moscow","Canoe / Kayak","Canoe / Kayak F","MILENKOV, Bojiar","BUL","Men","K-4 1000m (kayak four)","M","Bronze",1980,"Bulgaria"
"Moscow","Canoe / Kayak","Canoe / Kayak F","DUVIGNEAU, Bernd","GDR","Men","K-4 1000m (kayak four)","M","Gold",1980,NA
"Moscow","Canoe / Kayak","Canoe / Kayak F","HELM, RÃ_diger","GDR","Men","K-4 1000m (kayak four)","M","Gold",1980,NA
"Moscow","Canoe / Kayak","Canoe / Kayak F","MARG, Harald","GDR","Men","K-4 1000m (kayak four)","M","Gold",1980,NA
"Moscow","Canoe / Kayak","Canoe / Kayak F","OLBRICHT, Bernd","GDR","Men","K-4 1000m (kayak four)","M","Gold",1980,NA
"Moscow","Canoe / Kayak","Canoe / Kayak F","DIBA, Vasile","ROU","Men","K-4 1000m (kayak four)","M","Silver",1980,NA
"Moscow","Canoe / Kayak","Canoe / Kayak F","ESEANU, Nicusor","ROU","Men","K-4 1000m (kayak four)","M","Silver",1980,NA
"Moscow","Canoe / Kayak","Canoe / Kayak F","GEANTA, Ion","ROU","Men","K-4 1000m (kayak four)","M","Silver",1980,NA
"Moscow","Canoe / Kayak","Canoe / Kayak F","ZAFIU, Mihai","ROU","Men","K-4 1000m (kayak four)","M","Silver",1980,NA
"Moscow","Cycling","Cycling Road","BARINOV, Yuri","URS","Men","individual road race","M","Bronze",1980,NA
"Moscow","Cycling","Cycling Road","SUKHORUCHENKOV, Sergei","URS","Men","individual road race","M","Gold",1980,NA
"Moscow","Cycling","Cycling Road","LANG, Stanislaw","POL","Men","individual road race","M","Silver",1980,"Poland"
"Moscow","Cycling","Cycling Road","KLASA, Michal","TCH","Men","team time trial","M","Bronze",1980,NA
"Moscow","Cycling","Cycling Road","KONECNY, Vlastibor","TCH","Men","team time trial","M","Bronze",1980,NA
"Moscow","Cycling","Cycling Road","KOSTADINOV, Alipi","TCH","Men","team time trial","M","Bronze",1980,NA
"Moscow","Cycling","Cycling Road","SKODA, Jiri","TCH","Men","team time trial","M","Bronze",1980,NA
"Moscow","Cycling","Cycling Road","KASHIRIN, Yuri","URS","Men","team time trial","M","Gold",1980,NA
"Moscow","Cycling","Cycling Road","LOGVIN, Oleg","URS","Men","team time trial","M","Gold",1980,NA
"Moscow","Cycling","Cycling Road","SHELPAKOV, Sergei","URS","Men","team time trial","M","Gold",1980,NA
"Moscow","Cycling","Cycling Road","YARKIN, Anatoli","URS","Men","team time trial","M","Gold",1980,NA
"Moscow","Cycling","Cycling Road","BODEN, Falk","GDR","Men","team time trial","M","Silver",1980,NA
"Moscow","Cycling","Cycling Road","DROGAN, Bernd","GDR","Men","team time trial","M","Silver",1980,NA
"Moscow","Cycling","Cycling Road","HARTNICK, Hans-Joachim","GDR","Men","team time trial","M","Silver",1980,NA
"Moscow","Cycling","Cycling Road","LUDWIG, Olaf","GDR","Men","team time trial","M","Silver",1980,NA
"Moscow","Cycling","Cycling Track","WELLER, David","JAM","Men","1km time trial","M","Bronze",1980,"Jamaica"
"Moscow","Cycling","Cycling Track","THOMS, Lothar","GDR","Men","1km time trial","M","Gold",1980,NA
